publishTime,totalMatched,md.eventName,md.name,marketId,betDelay,bspReconciled,complete,status,runnersVoidable,numberOfWinners,numberOfRunners,crossMatching,inplay,numberOfActiveRunners,version,selection_selectionId,selection_lastPriceTraded,selection_ex.availableToBack.price,selection_ex.availableToBack.size,selection_ex.availableToLay.price,selection_ex.availableToLay.size,selection_status,selection_md.name,selection_handicap,selection_totalMatched,selection_adjustmentFactor,selection_removalDate,selection_sp.actualSP,selection_sp.nearPrice,selection_sp.farPrice
2020-05-04 00:06:02.441000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:06:02.441000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:10:38.588000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.79,19.47,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:10:38.588000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.04,14.75,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:15:05.533000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:15:05.533000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:15:07.211000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,1.79,19.47,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:15:07.211000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,2.04,14.75,,,ACTIVE,3. Sweet Potato,0,0,,,,,
2020-05-04 00:20:31.731000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,22254776,,,,,,ACTIVE,1. Springvale Misty,0,0,,,,,
2020-05-04 00:20:31.731000,0,Shep (AUS) 4th May,Springvale Misty v Sweet Potato,1.170374988,0,False,True,OPEN,False,1,2,True,False,2,3237869507,17131194,,,,,,ACTIVE,3. Sweet Potato,0,0,,,,,
