publishTime,totalMatched,selection_selectionId,selection_lastPriceTraded,selection_ex.availableToBack.price,selection_ex.availableToBack.size,selection_ex.availableToLay.price,selection_ex.availableToLay.size,selection_status,selection_md.name,selection_handicap,selection_totalMatched,selection_adjustmentFactor,selection_removalDate,selection_sp.actualSP,selection_sp.nearPrice,selection_sp.farPrice
2020-05-04 00:06:02.441000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:06:02.441000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:11:14.572000,0,26859492,,1.98,15.68,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:11:14.572000,0,18937450,,1.84,18.29,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:15:56.977000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:15:56.977000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:15:58.661000,0,26859492,,1.98,15.68,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:15:58.661000,0,18937450,,1.84,18.29,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:21:29.782000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:21:29.782000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:21:31.467000,0,26859492,,1.98,15.68,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:21:31.467000,0,18937450,,1.84,18.29,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:27:17.828000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:27:17.828000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:27:19.507000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:27:19.507000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:33:02.841000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:33:02.841000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:33:04.629000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:33:04.629000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:38:48.786000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:38:48.786000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:38:50.464000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:38:50.464000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:44:30.148000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:44:30.148000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:44:31.830000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:44:31.830000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:50:13.862000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:50:13.862000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:50:15.644000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:50:15.644000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:56:00.697000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:56:00.697000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 00:56:02.379000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 00:56:02.379000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:01:43.938000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:01:43.938000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:01:45.618000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:01:45.618000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:07:28.796000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:07:28.796000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:07:30.482000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:07:30.482000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:13:10.011000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:13:10.011000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:13:11.688000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:13:11.688000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:18:49.895000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:18:49.895000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:18:51.625000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:18:51.625000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:24:32.380000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:24:32.380000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:24:34.059000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:24:34.059000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:30:13.048000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:30:13.048000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:30:14.727000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:30:14.727000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:35:48.403000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:35:48.403000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:35:50.186000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:35:50.186000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:41:25.250000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:41:25.250000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:41:26.881000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:41:26.881000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:46:57.516000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:46:57.516000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:46:59.245000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:46:59.245000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:52:28.841000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:52:28.841000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:52:30.418000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:52:30.418000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:58:01.502000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:58:01.502000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 01:58:03.194000,0,26859492,,1.98,15.66,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 01:58:03.194000,0,18937450,,1.84,18.27,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:03:32.841000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:03:32.841000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:03:34.531000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:03:34.531000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:08:58.875000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:08:58.875000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:09:00.620000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:09:00.620000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:14:21.114000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:14:21.114000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:14:22.848000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:14:22.848000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:19:41.191000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:19:41.191000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:19:42.984000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:19:42.984000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:24:55.213000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:24:55.213000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:24:56.904000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:24:56.904000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:30:06.017000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:30:06.017000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:30:07.708000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:30:07.708000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:35:16.163000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:35:16.163000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:35:17.797000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:35:17.797000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:40:59.072000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:40:59.072000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:41:00.855000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:41:00.855000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:47:01.533000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:47:01.533000,0,18937450,,,,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:47:03.227000,0,26859492,,1.98,15.7,,,ACTIVE,1. Bush Bro,0,0,,,,,
2020-05-04 02:47:03.227000,0,18937450,,1.84,18.31,,,ACTIVE,3. Blazin Bulla,0,0,,,,,
2020-05-04 02:52:57.856000,0,26859492,,,,,,ACTIVE,1. Bush Bro,0,0,,,,,
